estacion_origen,estacion_destino,duracion_recorrido,latitud_origen,longitud_origen,latitud_destino,longitud_destino,distancia_de_viaje
075  -  PLAZA PRIMERO DE MAYO,186  -  MANZANA 66,210,-34.6123,-58.3989,-34.6135,-58.4061,0.6722784992213379
023  -  SUIPACHA,083  -  PARANA,801,-34.6001,-58.3797,-34.6031,-58.3893,0.9398499024824197
069  -  ECUADOR,335  -  GENERAL URQUIZA,2198,-34.5958,-58.4046,-34.5713,-58.4119,2.805047406353034
234  -  AVENIDA TRIUNVIRATO,295  -  SUPERI,1775,-34.5656,-58.4952,-34.5554,-58.4767,2.0387012592669174
008  -  CONGRESO,001  -  FACULTAD DE DERECHO,1089,-34.6101,-58.3891,-34.5842,-58.3905,2.8827981079075453
108  -  USINA DEL ARTE,006  -  PARQUE LEZAMA,37745,-34.6289,-58.3562,-34.6282,-58.3694,1.210267461371158
046  -  CHILE,168  -  ESTADOS UNIDOS,1827,-34.6164,-58.3744,-34.6185,-58.3815,0.6904042497214317
032  -  CATEDRAL,165  -  PLAZA MONSENOR MIGUEL DE ANDREA,1188,-34.6072,-58.3735,-34.597,-58.4076,3.320739462017679
127  -  PLAZA LEONARDO N. ALEM,281  -  VILLA URQUIZA,1078,-34.5763,-58.5025,-34.5736,-58.4873,1.4236701585327338
083  -  PARANA,373  -  JORGELINA DE SIMONE,747,-34.6031,-58.3893,-34.624,-58.3906,2.3270170441223987
033  -  FACULTAD DE MEDICINA,205  -  SAN MARTIN,1901,-34.5972,-58.3988,-34.6057,-58.4532,5.067982003818287
277  -  COGHLAN,289  -  MONTANESES,906,-34.5658,-58.4755,-34.5514,-58.4541,2.530659834112359
025  -  PLAZA GUEMES,194  -  PERON Y ACUNA DE FIGUEROA,706,-34.5898,-58.4166,-34.606,-58.4227,1.8859034560547703
239  -  AVENIDA CRAMER,261  -  QUINTEROS LIDORO,1005,-34.558,-58.4673,-34.5523,-58.4509,1.6301401513352185
036  -  MAIPU,015  -  AMENABAR,2440,-34.6046,-58.3766,-34.5719,-58.4475,7.439419153654743
137  -  AZOPARDO Y CHILE,128  -  PARQUE DEL BAJO,312,-34.6157,-58.3676,-34.6052,-58.368,1.1681204672675913
005  -  PLAZA ITALIA,289  -  MONTANESES,1331,-34.5808,-58.4204,-34.5514,-58.4541,4.495464812514807
050  -  HOSPITAL RIVADAVIA,163  -  ONCE II,1269,-34.5836,-58.4012,-34.6088,-58.4061,2.837779811772429
017  -  PLAZA ALMAGRO,145  -  RAVIGNANI,1230,-34.6064,-58.4185,-34.5803,-58.4378,3.397605150567649
014  -  PACIFICO,276  -  PRIMERA JUNTA,1974,-34.5782,-58.4266,-34.6204,-58.4412,4.8789993777014615
193  -  ARENALES Y AGUERO,135  -  MARCELO T. DE ALVEAR,725,-34.5909,-58.4061,-34.5975,-58.3784,2.639591938227034
079  -  AZUCENA VILLAFLOR,117  -  HUMBERTO 1°,761,-34.612,-58.3639,-34.6199,-58.3742,1.2884418518678538
065  -  JULIAN ALVAREZ,391  -  PLAZA REPUBLICA DE ECUADOR,863,-34.5873,-58.416,-34.56553,-58.41986,2.4463740758812285
116  -  HOSPITAL ALEMAN,066  -  BILLINGHURST,535,-34.5921,-58.4028,-34.5947,-58.4139,1.0563789079331967
207  -  PLAZA ARENALES,218  -  CAMPANA,1275,-34.6001,-58.5117,-34.6168,-58.4842,3.127693180345886
316  -  BUENOS AIRES,316  -  BUENOS AIRES,1073,-34.6459,-58.3968,-34.6459,-58.3968,0.0
112  -  9 DE JULIO,147  -  CONSTITUCION,472,-34.6121,-58.3805,-34.6261,-58.3793,1.560597039867988
135  -  MARCELO T. DE ALVEAR,189  -  POSADAS,459,-34.5975,-58.3784,-34.5885,-58.3855,1.1932683347312094
136  -  ACEVEDO,102  -  ROSETI,644,-34.5998,-58.4428,-34.5864,-58.446,1.5185306988011253
091  -  PASCO,075  -  PLAZA PRIMERO DE MAYO,323,-34.6174,-58.3976,-34.6123,-58.3989,0.5794382017265346
132  -  CORRIENTES,137  -  AZOPARDO Y CHILE,509,-34.6031,-58.3725,-34.6157,-58.3676,1.4710730593315036
216  -  EMILIO LAMARCA,216  -  EMILIO LAMARCA,586,-34.6133,-58.4933,-34.6133,-58.4933,0.0
266  -  PLAZA SABATTINI,266  -  PLAZA SABATTINI,1622,-34.6124,-58.4433,-34.6124,-58.4433,0.0
112  -  9 DE JULIO,137  -  AZOPARDO Y CHILE,438,-34.6121,-58.3805,-34.6157,-58.3676,1.2465438851545703
381  -  MATIENZO Y ARCE,056  -  PLAZA PALERMO VIEJO,1764,-34.5688,-58.4343,-34.5887,-58.4262,2.333734969935518
089  -  CABELLO,089  -  CABELLO,1690,-34.5825,-58.4054,-34.5825,-58.4054,0.0
015  -  AMENABAR,256  -  PLAZA NORUEGA,975,-34.5719,-58.4475,-34.5622,-58.4594,1.5331778963653004
030  -  PENA,030  -  PENA,1383,-34.5906,-58.3974,-34.5906,-58.3974,0.0
024  -  ALSINA,147  -  CONSTITUCION,468,-34.6108,-58.3806,-34.6261,-58.3793,1.7054364200250334
251  -  SOLAR DE LA ABADIA,257  -  PLAZA FRANCISCO RAMIREZ,2026,-34.5675,-58.437,-34.5531,-58.4689,3.331219162925713
093  -  CARLOS CALVO,155  -  PARQUE JOSE EVARISTO URIBURU,1600,-34.6207,-58.3944,-34.6381,-58.4112,2.471073719580291
269  -  PLAZA DE LA MISERICORDIA,097  -  AVELINO DIAZ,1229,-34.6328,-58.4551,-34.6353,-58.4275,2.540408274960058
182  -  RAVIGNANI Y GUATEMALA,161  -  HUMAHUACA,1854,-34.5781,-58.4351,-34.6021,-58.4195,3.026726547600301
084  -  TEATRO PICADERO,012  -  PLAZA VICENTE LOPEZ,807,-34.6042,-58.3937,-34.5928,-58.3888,1.3446250656547007
345  -  PLAZA MAFALDA,054  -  ACUNA DE FIGUEROA,1047,-34.5809,-58.4446,-34.5982,-58.4219,2.8316839331778016
002  -  RETIRO I,029  -  PARQUE CENTENARIO,3010,-34.5927,-58.3751,-34.608,-58.4333,5.592017972034881
008  -  CONGRESO,009  -  PARQUE LAS HERAS,2015,-34.6101,-58.3891,-34.5855,-58.4077,3.2219270824259296
069  -  ECUADOR,066  -  BILLINGHURST,313,-34.5958,-58.4046,-34.5947,-58.4139,0.8600070628347923
168  -  ESTADOS UNIDOS,144  -  PUEYRREDON,1141,-34.6185,-58.3815,-34.6021,-58.4061,2.8972340125485494
009  -  PARQUE LAS HERAS,050  -  HOSPITAL RIVADAVIA,234,-34.5855,-58.4077,-34.5836,-58.4012,0.6314392043819091
065  -  JULIAN ALVAREZ,054  -  ACUNA DE FIGUEROA,632,-34.5873,-58.416,-34.5982,-58.4219,1.3269042714488997
344  -  UNIVERSIDAD DI TELLA,111  -  MACACHA GUEMES,2915,-34.5481,-58.4476,-34.6048,-58.3639,9.923366851050975
266  -  PLAZA SABATTINI,350  -  PLAZA IRLANDA,582,-34.6124,-58.4433,-34.6131,-58.4572,1.2744312045578765
200  -  AUSTRIA Y FRENCH,069  -  ECUADOR,380,-34.5883,-58.4043,-34.5958,-58.4046,0.8344139569309087
344  -  UNIVERSIDAD DI TELLA,292  -  PLAZA BOLIVIA,913,-34.5481,-58.4476,-34.5635,-58.4367,1.982096847198951
254  -  PLAZA RAFAEL HERNANDEZ,243  -  PLAZOLETA CELEDONIO FLORES,1068,-34.5625,-58.4552,-34.5817,-58.4516,2.160237248404081
009  -  PARQUE LAS HERAS,022  -  ARENALES,995,-34.5855,-58.4077,-34.5943,-58.3828,2.4804996125516947
133  -  BEIRO Y SEGUROLA,224  -  BAIGORRIA,431,-34.6075,-58.5119,-34.6106,-58.5029,0.8928881357566572
061  -  MINISTERIO DE ECONOMIA,164  -  FACULTAD DE INGENIERIA,331,-34.6088,-58.3707,-34.6173,-58.3669,1.0071019554794074
025  -  PLAZA GUEMES,023  -  SUIPACHA,1014,-34.5898,-58.4166,-34.6001,-58.3797,3.5665081797075358
064  -  RIOBAMBA,200  -  AUSTRIA Y FRENCH,282,-34.594,-58.3945,-34.5883,-58.4043,1.0983903464486775
010  -  MADERO UCA,149  -  LIMA,633,-34.617,-58.3658,-34.6153,-58.3816,1.4581749415611738
001  -  FACULTAD DE DERECHO,189  -  POSADAS,312,-34.5842,-58.3905,-34.5885,-58.3855,0.6619078634115432
144  -  PUEYRREDON,178  -  JOSE MARMOL,1393,-34.6021,-58.4061,-34.6234,-58.4249,2.9273866712767824
287  -  BELAUSTEGUI,279  -  PLAZA MONTE CASTRO,490,-34.6164,-58.4772,-34.6181,-58.4985,1.958298720372068
128  -  PARQUE DEL BAJO,128  -  PARQUE DEL BAJO,1406,-34.6052,-58.368,-34.6052,-58.368,0.0
187  -  JOSE MARIA MORENO,074  -  INSTITUTO LELOIR,812,-34.6202,-58.4356,-34.6046,-58.4348,1.7361851530588515
069  -  ECUADOR,333  -  PARQUE DE LA ESTACION,626,-34.5958,-58.4046,-34.608,-58.4118,1.5081687473934384
205  -  SAN MARTIN,097  -  AVELINO DIAZ,1593,-34.6057,-58.4532,-34.6353,-58.4275,4.04519796150807
238  -  PLAZA LAS TOSCANERAS,207  -  PLAZA ARENALES,1327,-34.639,-58.5043,-34.6001,-58.5117,4.3781657146759105
004  -  PLAZA ROMA,022  -  ARENALES,1538,-34.6018,-58.3691,-34.5943,-58.3828,1.505966811780559
061  -  MINISTERIO DE ECONOMIA,152  -  JULIETA LANTERI,428,-34.6088,-58.3707,-34.6181,-58.36,1.4241546979372612
079  -  AZUCENA VILLAFLOR,152  -  JULIETA LANTERI,5269,-34.612,-58.3639,-34.6181,-58.36,0.7664537578462903
260  -  SAN MIGUEL DE GARICOITS,249  -  BALBIN,1026,-34.5772,-58.4576,-34.5614,-58.4657,1.9070080346414124
161  -  HUMAHUACA,136  -  ACEVEDO,676,-34.6021,-58.4195,-34.5998,-58.4428,2.1478721067266764
009  -  PARQUE LAS HERAS,160  -  GODOY CRUZ Y LIBERTADOR,571,-34.5855,-58.4077,-34.5728,-58.4207,1.8468202653625243
122  -  COSTA RICA,070  -  ARAOZ,436,-34.5916,-58.4204,-34.5927,-58.4258,0.5092095646425238
266  -  PLAZA SABATTINI,225  -  HOSPITAL TORNU,1812,-34.6124,-58.4433,-34.5876,-58.474,3.93703433340171
009  -  PARQUE LAS HERAS,084  -  TEATRO PICADERO,1174,-34.5855,-58.4077,-34.6042,-58.3937,2.4425122939234756
237  -  MADERO OFFICE,051  -  TUCUMAN,771,-34.5991,-58.3645,-34.6014,-58.3819,1.6129967504601557
171  -  PASTEUR,165  -  PLAZA MONSENOR MIGUEL DE ANDREA,505,-34.603,-58.3996,-34.597,-58.4076,0.9905928005413172
152  -  JULIETA LANTERI,061  -  MINISTERIO DE ECONOMIA,644,-34.6181,-58.36,-34.6088,-58.3707,1.4241546979372612
026  -  JUANA MANSO I,032  -  CATEDRAL,573,-34.6009,-58.3638,-34.6072,-58.3735,1.1308845992469656
126  -  MINISTERIO DE JUSTICIA Y SEGURIDAD,128  -  PARQUE DEL BAJO,1410,-34.6401,-58.3693,-34.6052,-58.368,3.8825256636310868
117  -  HUMBERTO 1°,273  -  PLAZOLETA COLOMBIA,1531,-34.6199,-58.3742,-34.6377,-58.3737,1.9797983332856808
347  -  CARABOBO,353  -  PLAZA VELEZ SARSFIELD,1533,-34.626,-58.4553,-34.6295,-58.4837,2.6275252560802107
167  -  HIPOLITO YRIGOYEN,025  -  PLAZA GUEMES,1029,-34.615,-58.4273,-34.5898,-58.4166,2.9683185481533907
059  -  CORONEL DIAZ,266  -  PLAZA SABATTINI,1414,-34.5902,-58.4116,-34.6124,-58.4433,3.8094372094467595
333  -  PARQUE DE LA ESTACION,116  -  HOSPITAL ALEMAN,918,-34.608,-58.4118,-34.5921,-58.4028,1.9504863223321858
129  -  VELASCO,194  -  PERON Y ACUNA DE FIGUEROA,594,-34.6002,-58.4349,-34.606,-58.4227,1.2894754150895005
146  -  HOSPITAL FRANCES,086  -  SAAVEDRA,389,-34.6222,-58.4077,-34.6213,-58.4018,0.5490742192791126
117  -  HUMBERTO 1°,041  -  PARQUE PATRICIOS II,1338,-34.6199,-58.3742,-34.6374,-58.4057,3.477555352727361
194  -  PERON Y ACUNA DE FIGUEROA,167  -  HIPOLITO YRIGOYEN,536,-34.606,-58.4227,-34.615,-58.4273,1.0856942258046969
014  -  PACIFICO,025  -  PLAZA GUEMES,1589,-34.5782,-58.4266,-34.5898,-58.4166,1.5817119711988452
163  -  ONCE II,118  -  MEXICO,541,-34.6088,-58.4061,-34.6168,-58.4027,0.9424063845028917
069  -  ECUADOR,384  -  PLAZA BENITO NAZAR,1149,-34.5958,-58.4046,-34.6048,-58.4463,3.945747606683561
113  -  GUATEMALA,001  -  FACULTAD DE DERECHO,1341,-34.5857,-58.4251,-34.5842,-58.3905,3.171851321230543
129  -  VELASCO,102  -  ROSETI,732,-34.6002,-58.4349,-34.5864,-58.446,1.8403846461945443
381  -  MATIENZO Y ARCE,255  -  BARRANCAS DE BELGRANO,529,-34.5688,-58.4343,-34.5599,-58.4482,1.6122591917861155
253  -  PLAZA COLEGIALES,121  -  YATAY,1121,-34.5784,-58.4453,-34.6008,-58.4283,2.936939849236539
130  -  RETIRO II,124  -  UGARTECHE,1552,-34.5927,-58.375,-34.5807,-58.4125,3.6830786096616457
220  -  PLAZA FELIX LIMA,247  -  PLAZA LUCIO DEMARE,273,-34.5418,-58.4704,-34.5457,-58.4651,0.6509249534919972
251  -  SOLAR DE LA ABADIA,261  -  QUINTEROS LIDORO,817,-34.5675,-58.437,-34.5523,-58.4509,2.1158512456141487
164  -  FACULTAD DE INGENIERIA,091  -  PASCO,574,-34.6173,-58.3669,-34.6174,-58.3976,2.8093625334216528
079  -  AZUCENA VILLAFLOR,128  -  PARQUE DEL BAJO,729,-34.612,-58.3639,-34.6052,-58.368,0.8441102342229183
182  -  RAVIGNANI Y GUATEMALA,259  -  PLAZA CASTELLI,1206,-34.5781,-58.4351,-34.5679,-58.4642,2.8957089606192947
150  -  RODRIGO BUENO,128  -  PARQUE DEL BAJO,2954,-34.6192,-58.3556,-34.6052,-58.368,1.9264340948806362
075  -  PLAZA PRIMERO DE MAYO,112  -  9 DE JULIO,1054,-34.6123,-58.3989,-34.6121,-58.3805,1.6840254471682194
167  -  HIPOLITO YRIGOYEN,146  -  HOSPITAL FRANCES,971,-34.615,-58.4273,-34.6222,-58.4077,1.9641328658830182
024  -  ALSINA,018  -  INDEPENDENCIA,623,-34.6108,-58.3806,-34.6176,-58.3803,0.7566237434274733
086  -  SAAVEDRA,126  -  MINISTERIO DE JUSTICIA Y SEGURIDAD,1944,-34.6213,-58.4018,-34.6401,-58.3693,3.6348610669584756
288  -  SECRETARIA DE DEPORTES,250  -  FLENI,410,-34.5472,-58.4564,-34.5556,-58.4505,1.0790677330609337
108  -  USINA DEL ARTE,172  -  BRASIL,1150,-34.6289,-58.3562,-34.6254,-58.3711,1.4177910668481302
333  -  PARQUE DE LA ESTACION,188  -  ARANGUREN,941,-34.608,-58.4118,-34.6104,-58.4328,1.940327203121407
030  -  PENA,064  -  RIOBAMBA,240,-34.5906,-58.3974,-34.594,-58.3945,0.4619514408029575
266  -  PLAZA SABATTINI,276  -  PRIMERA JUNTA,661,-34.6124,-58.4433,-34.6204,-58.4412,0.9100802465731277
181  -  BILLINGHURST Y MANSILLA,171  -  PASTEUR,709,-34.5926,-58.412,-34.603,-58.3996,1.6203437551032032
174  -  MINISTERIO DE EDUCACION,186  -  MANZANA 66,1371,-34.5972,-58.3918,-34.6135,-58.4061,2.235612807232696
121  -  YATAY,178  -  JOSE MARMOL,1004,-34.6008,-58.4283,-34.6234,-58.4249,2.5321949616503665
370  -  BEAUCHEF,155  -  PARQUE JOSE EVARISTO URIBURU,686,-34.6401,-58.4304,-34.6381,-58.4112,1.7705433801408317
242  -  PLAZOLETA RAFAEL DEL RIEGO,292  -  PLAZA BOLIVIA,480,-34.5674,-58.4464,-34.5635,-58.4367,0.9884099096586517
164  -  FACULTAD DE INGENIERIA,128  -  PARQUE DEL BAJO,463,-34.6173,-58.3669,-34.6052,-58.368,1.3492193613494792
292  -  PLAZA BOLIVIA,292  -  PLAZA BOLIVIA,106,-34.5635,-58.4367,-34.5635,-58.4367,0.0
089  -  CABELLO,103  -  MALBA,337,-34.5825,-58.4054,-34.5771,-58.403,0.6393911926478701
066  -  BILLINGHURST,082  -  HOSPITAL ITALIANO,681,-34.5947,-58.4139,-34.6074,-58.4262,1.8060003028958995
295  -  SUPERI,257  -  PLAZA FRANCISCO RAMIREZ,537,-34.5554,-58.4767,-34.5531,-58.4689,0.7587190394181036
171  -  PASTEUR,171  -  PASTEUR,67,-34.603,-58.3996,-34.603,-58.3996,0.0
345  -  PLAZA MAFALDA,094  -  GUZMAN,411,-34.5809,-58.4446,-34.5917,-58.4497,1.2884655654378034
387  -  LUNA,387  -  LUNA,1421,-34.63847,-58.3997,-34.63847,-58.3997,0.0
257  -  PLAZA FRANCISCO RAMIREZ,396  -  PLAZA ALBERTI,681,-34.5531,-58.4689,-34.55571,-58.45789,1.0492191550491052
001  -  FACULTAD DE DERECHO,130  -  RETIRO II,450,-34.5842,-58.3905,-34.5927,-58.375,1.704866977189302
374  -  PUAN,382  -  MERCADO DE HACIENDA MATADEROS,2255,-34.6221,-58.4484,-34.6615,-58.5016,6.5483031030737795
160  -  GODOY CRUZ Y LIBERTADOR,288  -  SECRETARIA DE DEPORTES,1086,-34.5728,-58.4207,-34.5472,-58.4564,4.334786493040423
001  -  FACULTAD DE DERECHO,111  -  MACACHA GUEMES,1777,-34.5842,-58.3905,-34.6048,-58.3639,3.342944157337424
146  -  HOSPITAL FRANCES,146  -  HOSPITAL FRANCES,1618,-34.6222,-58.4077,-34.6222,-58.4077,0.0
065  -  JULIAN ALVAREZ,174  -  MINISTERIO DE EDUCACION,1489,-34.5873,-58.416,-34.5972,-58.3918,2.4736472097176083
254  -  PLAZA RAFAEL HERNANDEZ,232  -  SUCRE Y MARTINEZ,508,-34.5625,-58.4552,-34.5705,-58.4662,1.3438038788857118
005  -  PLAZA ITALIA,335  -  GENERAL URQUIZA,376,-34.5808,-58.4204,-34.5713,-58.4119,1.3120599286345724
093  -  CARLOS CALVO,162  -  LARREA Y BARTOLOME MITRE,812,-34.6207,-58.3944,-34.609,-58.4019,1.4709233448186938
084  -  TEATRO PICADERO,171  -  PASTEUR,269,-34.6042,-58.3937,-34.603,-58.3996,0.5562369023674784
084  -  TEATRO PICADERO,023  -  SUIPACHA,635,-34.6042,-58.3937,-34.6001,-58.3797,1.3600535366790263
105  -  PARQUE SAAVEDRA,265  -  PLAZA EXODO JUJENO,1540,-34.5521,-58.4805,-34.5826,-58.481,3.3917542638571723
121  -  YATAY,162  -  LARREA Y BARTOLOME MITRE,1640,-34.6008,-58.4283,-34.609,-58.4019,2.582529276150704
008  -  CONGRESO,107  -  HOSPITAL GARRAHAN,897,-34.6101,-58.3891,-34.6303,-58.3963,2.3407714865781206
050  -  HOSPITAL RIVADAVIA,124  -  UGARTECHE,1102,-34.5836,-58.4012,-34.5807,-58.4125,1.0835886409636892
182  -  RAVIGNANI Y GUATEMALA,113  -  GUATEMALA,579,-34.5781,-58.4351,-34.5857,-58.4251,1.24590367958356
151  -  AIME PAINE,006  -  PARQUE LEZAMA,627,-34.612,-58.3615,-34.6282,-58.3694,1.940998593420848
199  -  ESTADOS UNIDOS Y BOEDO,120  -  HOSPITAL RAMOS MEJIA,476,-34.6224,-58.4158,-34.6175,-58.4092,0.8133971506834151
121  -  YATAY,165  -  PLAZA MONSENOR MIGUEL DE ANDREA,760,-34.6008,-58.4283,-34.597,-58.4076,1.941211781698085
348  -  VILLA DEL PARQUE,173  -  EL LIBERTADOR,287,-34.6007,-58.494,-34.5944,-58.5032,1.0953773212688191
061  -  MINISTERIO DE ECONOMIA,024  -  ALSINA,339,-34.6088,-58.3707,-34.6108,-58.3806,0.9329204269550299
167  -  HIPOLITO YRIGOYEN,089  -  CABELLO,2133,-34.615,-58.4273,-34.5825,-58.4054,4.132535452126576
352  -  SAN JOSE DE FLORES,137  -  AZOPARDO Y CHILE,3958,-34.6289,-58.4627,-34.6157,-58.3676,8.82494727072253
350  -  PLAZA IRLANDA,272  -  PLAZA BRUNO GIORDANO,911,-34.6131,-58.4572,-34.6159,-58.4407,1.5417228506119554
122  -  COSTA RICA,069  -  ECUADOR,649,-34.5916,-58.4204,-34.5958,-58.4046,1.5197955219324568
082  -  HOSPITAL ITALIANO,017  -  PLAZA ALMAGRO,363,-34.6074,-58.4262,-34.6064,-58.4185,0.7134302434981661
206  -  GALICIA,327  -  PLAZA RICCHERI,2796,-34.6158,-58.4708,-34.6107,-58.5191,4.456355469458257
103  -  MALBA,001  -  FACULTAD DE DERECHO,618,-34.5771,-58.403,-34.5842,-58.3905,1.390279263153154
098  -  BENITO JUAREZ,353  -  PLAZA VELEZ SARSFIELD,746,-34.619,-58.5047,-34.6295,-58.4837,2.2484388695988633
129  -  VELASCO,012  -  PLAZA VICENTE LOPEZ,1469,-34.6002,-58.4349,-34.5928,-58.3888,4.299125411980787
086  -  SAAVEDRA,093  -  CARLOS CALVO,324,-34.6213,-58.4018,-34.6207,-58.3944,0.6804190421177503
062  -  PARQUE ONEGA,250  -  FLENI,3256,-34.5932,-58.5138,-34.5556,-58.4505,7.146223163433424
017  -  PLAZA ALMAGRO,192  -  HOSPITAL SIRIO,3512,-34.6064,-58.4185,-34.5904,-58.5071,8.302451104621536
279  -  PLAZA MONTE CASTRO,197  -  PLAZA CIUDAD DE UDINE,1501,-34.6181,-58.4985,-34.621,-58.493,0.5977318688937304
118  -  MEXICO,087  -  GUAYAQUIL,1071,-34.6168,-58.4027,-34.6198,-58.4313,2.6383146603874224
150  -  RODRIGO BUENO,137  -  AZOPARDO Y CHILE,750,-34.6192,-58.3556,-34.6157,-58.3676,1.1650379021459008
093  -  CARLOS CALVO,162  -  LARREA Y BARTOLOME MITRE,862,-34.6207,-58.3944,-34.609,-58.4019,1.4709233448186938
065  -  JULIAN ALVAREZ,253  -  PLAZA COLEGIALES,1341,-34.5873,-58.416,-34.5784,-58.4453,2.8590788293020126
033  -  FACULTAD DE MEDICINA,051  -  TUCUMAN,592,-34.5972,-58.3988,-34.6014,-58.3819,1.6158092531817907
183  -  VIRREY CEVALLOS,057  -  BELGRANO,604,-34.6156,-58.3897,-34.6134,-58.3707,1.7558639883009022
390  -  DE LOS OMBUES,255  -  BARRANCAS DE BELGRANO,1953,-34.56,-58.428,-34.5599,-58.4482,1.8498019947819995
128  -  PARQUE DEL BAJO,026  -  JUANA MANSO I,258,-34.6052,-58.368,-34.6009,-58.3638,0.6135014749489069
163  -  ONCE II,244  -  UADE,1061,-34.6088,-58.4061,-34.6171,-58.3815,2.4330872523020646
029  -  PARQUE CENTENARIO,374  -  PUAN,853,-34.608,-58.4333,-34.6221,-58.4484,2.089881869523575
016  -  LEGISLATURA,126  -  MINISTERIO DE JUSTICIA Y SEGURIDAD,1196,-34.6099,-58.375,-34.6401,-58.3693,3.398347739326495
027  -  MONTEVIDEO,113  -  GUATEMALA,1076,-34.5994,-58.3897,-34.5857,-58.4251,3.580623777099429
265  -  PLAZA EXODO JUJENO,395  -  AGRONOMIA II,1964,-34.5826,-58.481,-34.5891,-58.48472,0.7989759827006863
167  -  HIPOLITO YRIGOYEN,136  -  ACEVEDO,691,-34.615,-58.4273,-34.5998,-58.4428,2.206576994499763
104  -  FEDERICO LACROZE,269  -  PLAZA DE LA MISERICORDIA,2008,-34.5876,-58.4551,-34.6328,-58.4551,5.0260106843346755
156  -  PLAZA ALEMANIA,058  -  MINISTRO CARRANZA,1736,-34.5778,-58.4073,-34.5749,-58.4353,2.5837317827909323
103  -  MALBA,001  -  FACULTAD DE DERECHO,694,-34.5771,-58.403,-34.5842,-58.3905,1.390279263153154
316  -  BUENOS AIRES,069  -  ECUADOR,2109,-34.6459,-58.3968,-34.5958,-58.4046,5.616402412093656
018  -  INDEPENDENCIA,164  -  FACULTAD DE INGENIERIA,454,-34.6176,-58.3803,-34.6173,-58.3669,1.2266789980573423
010  -  MADERO UCA,383  -  BOEDO Y VENEZUELA,1435,-34.617,-58.3658,-34.6171,-58.4169,4.676163672097385
029  -  PARQUE CENTENARIO,017  -  PLAZA ALMAGRO,1581,-34.608,-58.4333,-34.6064,-58.4185,1.3661398984237778
050  -  HOSPITAL RIVADAVIA,025  -  PLAZA GUEMES,1011,-34.5836,-58.4012,-34.5898,-58.4166,1.5693068938149715
130  -  RETIRO II,152  -  JULIETA LANTERI,1223,-34.5927,-58.375,-34.6181,-58.36,3.1403260499602483
025  -  PLAZA GUEMES,135  -  MARCELO T. DE ALVEAR,1379,-34.5898,-58.4166,-34.5975,-58.3784,3.5999592427189793
074  -  INSTITUTO LELOIR,384  -  PLAZA BENITO NAZAR,435,-34.6046,-58.4348,-34.6048,-58.4463,1.0527541156148266
168  -  ESTADOS UNIDOS,183  -  VIRREY CEVALLOS,378,-34.6185,-58.3815,-34.6156,-58.3897,0.8167340316772378
033  -  FACULTAD DE MEDICINA,174  -  MINISTERIO DE EDUCACION,506,-34.5972,-58.3988,-34.5972,-58.3918,0.6407217156077641
280  -  JURAMENTO,255  -  BARRANCAS DE BELGRANO,1256,-34.579,-58.4841,-34.5599,-58.4482,3.913508479221161
029  -  PARQUE CENTENARIO,029  -  PARQUE CENTENARIO,98,-34.608,-58.4333,-34.608,-58.4333,0.0
396  -  PLAZA ALBERTI,106  -  MOSCONI Y CONSTITUYENTES,1541,-34.55571,-58.45789,-34.5809,-58.4936,4.305433012910049
147  -  CONSTITUCION,199  -  ESTADOS UNIDOS Y BOEDO,1213,-34.6261,-58.3793,-34.6224,-58.4158,3.36506312242156
118  -  MEXICO,017  -  PLAZA ALMAGRO,898,-34.6168,-58.4027,-34.6064,-58.4185,1.8515113891090018
183  -  VIRREY CEVALLOS,333  -  PARQUE DE LA ESTACION,1104,-34.6156,-58.3897,-34.608,-58.4118,2.191950292440652
117  -  HUMBERTO 1°,079  -  AZUCENA VILLAFLOR,590,-34.6199,-58.3742,-34.612,-58.3639,1.2884418518678538
015  -  AMENABAR,390  -  DE LOS OMBUES,997,-34.5719,-58.4475,-34.56,-58.428,2.2223994238088585
026  -  JUANA MANSO I,004  -  PLAZA ROMA,270,-34.6009,-58.3638,-34.6018,-58.3691,0.495308917883752
066  -  BILLINGHURST,059  -  CORONEL DIAZ,193,-34.5947,-58.4139,-34.5902,-58.4116,0.5428648551464805
262  -  HOLMBERG,295  -  SUPERI,755,-34.5667,-58.4791,-34.5554,-58.4767,1.2755777155992591
156  -  PLAZA ALEMANIA,009  -  PARQUE LAS HERAS,594,-34.5778,-58.4073,-34.5855,-58.4077,0.8569836817452906
187  -  JOSE MARIA MORENO,013  -  ONCE,2278,-34.6202,-58.4356,-34.6101,-58.4066,2.8816966365142047
290  -  CLUB EXCURSIONISTAS,290  -  CLUB EXCURSIONISTAS,912,-34.5581,-58.4433,-34.5581,-58.4433,0.0
349  -  PLAZA SAENZ PENA,223  -  GAINZA,980,-34.6096,-58.4674,-34.6168,-58.4467,2.0565729330553437
069  -  ECUADOR,101  -  FITZ ROY,1778,-34.5958,-58.4046,-34.5891,-58.4423,3.530443377723368
009  -  PARQUE LAS HERAS,165  -  PLAZA MONSENOR MIGUEL DE ANDREA,1002,-34.5855,-58.4077,-34.597,-58.4076,1.2787744196368194
064  -  RIOBAMBA,066  -  BILLINGHURST,1036,-34.594,-58.3945,-34.5947,-58.4139,1.7774804505059152
314  -  ALLENDE,268  -  PLAZA ARISTOBULO DEL VALLE,607,-34.6147,-58.5116,-34.6064,-58.4932,1.920244064215009
