ID,NUMERO,NOMBRE,DIRECCION,BARRIO,COMUNA,EMPLAZAMIENTO,ANCLAJES,QUEDA ABIERTA,Latitud,Longitud
173,173,PLAZA CECILIA GRIERSON,632 San Juan Av. & Chacabuco,SAN TELMO,COMUNA 1,PLAZA CERRADA,16.0,0,-34.6221,-58.3750
174,174,MINISTERIO DE EDUCACION,"Alvear, Marcelo T. De & Rodriguez Peña",RECOLETA,COMUNA 2,PLAZOLETA,20.0,1,-34.5972,-58.3918
201,175,ESMERALDA Y CORRIENTES,Esmeralda & Corrientes Av.,SAN NICOLAS,COMUNA 1,VEREDA,7.0,0,-34.6035,-58.3781
176,176,PINZON Y MARTIN RODRIGUEZ,469 Pinzon,BOCA,COMUNA 4,CALZADA,9.0,3,-34.6341,-58.3609
454,178,PLAZA DERECHOS DEL HOMBRE,Cortina 551,VILLA LURO,COMUNA 10,VEREDA,12.0,1,-34.6340,-58.5069
177,177,PLANETARIO,"Av. Roldan, Belisario y Av. Casares",PALERMO,COMUNA 14,VEREDA,7.0,1,-34.5682,-58.4123
223,178,JOSE MARMOL,"803 Marmol, Jose & Estados Unidos",BOEDO,COMUNA 5,CALZADA,16.0,1,-34.6234,-58.4249
179,179,CASA SAN,Olavarria y Garibaldi,BOCA,COMUNA 4,CALZADA,16.0,1,-34.6385,-58.3643
501,179,LA BOCA,1819 Don Pedro De Mendoza Av. & Palos EX ID 179,BOCA,COMUNA 4,CALZADA,16.0,3,-34.6390,-58.3606
180,180,CASTRO Y MEXICO,680 Castro & Mexico,ALMAGRO,COMUNA 5,CALZADA,20.0,0,-34.6198,-58.4205
181,181,BILLINGHURST Y MANSILLA,"1533 Billinghurst & Mansilla, Lucio Norberto, General",RECOLETA,COMUNA 2,CALZADA,20.0,1,-34.5926,-58.4120
182,182,RAVIGNANI Y GUATEMALA,"2185 Ravignani, Emilio, Dr. & Guatemala",PALERMO,COMUNA 14,CALZADA,20.0,1,-34.5781,-58.4351
183,183,VIRREY CEVALLOS,1652 Mexico,MONSERRAT,COMUNA 1,CALZADA,20.0,1,-34.6156,-58.3897
184,184,PEDRO ECHAGUE,"1878 Echague, Pedro & Combate De Los Pozos",PARQUE PATRICIOS,COMUNA 4,CALZADA,20.0,1,-34.6307,-58.3912
185,185,AV. PAVON Y 33 ORIENTALES,1400 Treinta Y Tres Orientales & Pavon Av.,BOEDO,COMUNA 5,CALZADA,20.0,0,-34.6308,-58.4218
