Id_recorrido,estacion_origen,estacion_destino,duracion_recorrido,latitud_origen,longitud_origen,latitud_destino,longitud_destino,distancia_de_viaje
17330630BAEcobici,274  -  GAVILAN,082  -  HOSPITAL ITALIANO,1296,-34.615,-58.4666,-34.6074,-58.4262,3.7926067759158304
17366770BAEcobici,113  -  GUATEMALA,129  -  VELASCO,826,-34.5857,-58.4251,-34.6002,-58.4349,1.8450762921356965
17253729BAEcobici,184  -  PEDRO ECHAGUE,222  -  SIMON BOLIVAR,1774,-34.6307,-58.3912,-34.6334,-58.4493,5.324229400842428
17333347BAEcobici,029  -  PARQUE CENTENARIO,049  -  33 ORIENTALES,891,-34.608,-58.4333,-34.6288,-58.4223,2.5224040065489306
17242801BAEcobici,371  -  PASEO DE LAS AMERICAS,391  -  PLAZA REPUBLICA DE ECUADOR,1081,-34.553,-58.4352,-34.56553,-58.41986,1.978507912750049
17192427BAEcobici,240  -  ECHEVERRIA,335  -  GENERAL URQUIZA,2440,-34.5653,-58.4594,-34.5713,-58.4119,4.400140357409357
17173028BAEcobici,161  -  HUMAHUACA,025  -  PLAZA GUEMES,393,-34.6021,-58.4195,-34.5898,-58.4166,1.393218653504281
17276910BAEcobici,041  -  PARQUE PATRICIOS II,156  -  PLAZA ALEMANIA,2195,-34.6374,-58.4057,-34.5778,-58.4073,6.628835185333374
17140717BAEcobici,249  -  BALBIN,396  -  PLAZA ALBERTI,356,-34.5614,-58.4657,-34.55571,-58.45789,0.9548883633656771
17100284BAEcobici,268  -  PLAZA ARISTOBULO DEL VALLE,304  -  NAVARRO,653,-34.6064,-58.4932,-34.5923,-58.492,1.5716909921328248
17248369BAEcobici,016  -  LEGISLATURA,074  -  INSTITUTO LELOIR,2213,-34.6099,-58.375,-34.6046,-58.4348,5.504570323850302
17101356BAEcobici,005  -  PLAZA ITALIA,160  -  GODOY CRUZ Y LIBERTADOR,812,-34.5808,-58.4204,-34.5728,-58.4207,0.8899833392304171
17312814BAEcobici,116  -  HOSPITAL ALEMAN,085  -  AGUERO,347,-34.5921,-58.4028,-34.5945,-58.4089,0.6188657756580153
17232939BAEcobici,029  -  PARQUE CENTENARIO,333  -  PARQUE DE LA ESTACION,977,-34.608,-58.4333,-34.608,-58.4118,1.967675073437676
17332520BAEcobici,116  -  HOSPITAL ALEMAN,184  -  PEDRO ECHAGUE,1436,-34.5921,-58.4028,-34.6307,-58.3912,4.421458394137862
17110515BAEcobici,261  -  QUINTEROS LIDORO,255  -  BARRANCAS DE BELGRANO,1694,-34.5523,-58.4509,-34.5599,-58.4482,0.8805106662546006
17099384BAEcobici,070  -  ARAOZ,190  -  JUNCAL,546,-34.5927,-58.4258,-34.5852,-58.411,1.590906822121841
17192391BAEcobici,009  -  PARQUE LAS HERAS,275  -  PLAZA 24 DE SEPTIEMBRE,1619,-34.5855,-58.4077,-34.6071,-58.4485,4.440205798676145
17351648BAEcobici,128  -  PARQUE DEL BAJO,137  -  AZOPARDO Y CHILE,422,-34.6052,-58.368,-34.6157,-58.3676,1.1681204672675913
17294159BAEcobici,005  -  PLAZA ITALIA,005  -  PLAZA ITALIA,8335,-34.5808,-58.4204,-34.5808,-58.4204,0.0
17318472BAEcobici,083  -  PARANA,022  -  ARENALES,641,-34.6031,-58.3893,-34.5943,-58.3828,1.1451864522639024
17354947BAEcobici,168  -  ESTADOS UNIDOS,008  -  CONGRESO,1149,-34.6185,-58.3815,-34.6101,-58.3891,1.1645353480025917
